Page,OldRevision_Url,Time,Term
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502260136,2012-07-14T17:28:53Z,Bulletin of the Atomic Scientists
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502260136,2012-07-14T17:28:53Z,uranium-233
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502260136,2012-07-14T17:28:53Z,Carlo Rubbia
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502260136,2012-07-14T17:28:53Z,storage
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502260136,2012-07-14T17:28:53Z,Alvin Radkowsky
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502260136,2012-07-14T17:28:53Z,weapon
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502260136,2012-07-14T17:28:53Z,Edward Teller
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502260136,2012-07-14T17:28:53Z,Ralph W. Moir
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502261469,2012-07-14T17:37:10Z,reprocessing
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502261469,2012-07-14T17:37:10Z,feasibility
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502261469,2012-07-14T17:37:10Z,waste
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502261469,2012-07-14T17:37:10Z,Thorium Energy Alliance
Thorium-based nuclear power,https://en.wikipedia.org/w/index.php?title=Thorium-based nuclear power&oldid=502261469,2012-07-14T17:37:10Z,pollution
